obs,cpd,Y_sum,bkg_type,c_base,c_phys,mean_log_c_phys_meas,median_log_c_phys_meas,std_log_c_phys_meas,iqr_log_c_phys_meas,N_meas,mean_c_phys_meas,median_c_phys_meas
o11,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.4,0.2,-0.717031804,-0.698970004,0.0819136,0.048164799,10,0.191852824,0.2
o11,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.6,0.3,-0.504816946,-0.498796346,0.091922379,0.144494398,10,0.312739728,0.317105412
o11,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.673683485,-0.656825805,0.06433252,0.048164799,10,0.211990557,0.220381023
o11,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.533715825,-0.486755146,0.099690987,0.132453198,10,0.292606638,0.326020459
o12,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.2,0.2,-0.547250887,-0.626722805,0.189131609,0.216741597,10,0.283628007,0.236198532
o12,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.3,-0.493979866,-0.480734546,0.141474846,0.144494398,10,0.320641797,0.330571535
o12,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.605048646,-0.644784605,0.175946246,0.325112395,10,0.248285498,0.226576777
o12,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.385609067,-0.390425547,0.10591998,0.168576798,10,0.411519987,0.406981298
o12,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.417205928,-0.397940009,0.259760185,0.204700397,10,0.382643263,0.4
o12,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.291687709,-0.288075349,0.10229903,0.144494398,10,0.510872225,0.515139262
o12,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.4,0.2,-0.518352007,-0.518352007,0.119066571,0.072247199,10,0.303143313,0.303143313
o12,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.6,0.3,-0.241114669,-0.270013549,0.128589892,0.168576798,10,0.573964895,0.537015043
o12,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.467778968,-0.536413807,0.156154343,0.168576798,10,0.340581483,0.290794503
o12,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.331423668,-0.233889949,0.315196918,0.156535598,10,0.466204361,0.583592968
o13,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.2,0.2,-0.677295845,-0.680908205,0.051338143,0.072247199,10,0.210234582,0.208493152
o13,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.3,-0.537328185,-0.540940545,0.051338143,0.060205999,10,0.290182899,0.287779236
